"","date","tests","id","hosp","deaths","new_deaths","confirmed","new_confirmed","population","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","weekend","cs","p2.5_signal","p97.5_signal","mean_signal","p2.5_position","p97.5_position","mean_position","p2.5_growth_rate","p97.5_growth_rate","p25_growth_rate","p75_growth_rate","growth_rate","percentile_0_growth_rate","dispersion","z_score_growth_rate","error...30","error...31","error","p2.5_signal_deaths","p97.5_signal_deaths","mean_signal_deaths","p2.5_position_deaths","p97.5_position_deaths","mean_position_deaths","p2.5_growth_rate_deaths","p97.5_growth_rate_deaths","p25_growth_rate_deaths","p75_growth_rate_deaths","growth_rate_deaths","percentile_0_growth_rate_deaths","dispersion_deaths","z_score_growth_rate_deaths","country","state","county","deaths_pc"
"1",2020-03-02,NA,"7270561f",NA,0,0,1,0,8336817,3,"United States","New York","New York City",FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States","New York","New York City",0
"2",2020-03-03,NA,"7270561f",NA,0,0,2,1,8336817,3,"United States","New York","New York City",FALSE,0,0.239943570335255,0.981217958624363,0.485218445928636,-1.32834220358954,0.0750191206138378,-0.626661541487852,0.344156969844855,0.590586932016518,0.424969517789804,0.509774384071569,0.467371950930686,5.25130084293398e-14,2.8070907679837,7.43442220366254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States","New York","New York City",0
"3",2020-03-04,NA,"7270561f",NA,0,0,2,0,8336817,3,"United States","New York","New York City",FALSE,0,0.465762797326344,1.57412327381838,0.856252333923915,-0.765323697395183,0.446744516280852,-0.159289590557165,0.353052888569553,0.582787615345433,0.428390515774409,0.507449988140577,0.467920251957493,7.0803965531913e-16,2.8070907679837,7.98405059909192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States","New York","New York City",0
"4",2020-03-05,NA,"7270561f",NA,0,0,4,2,8336817,3,"United States","New York","New York City",FALSE,0,0.879779256470063,2.50500525726639,1.48453752485123,-0.211234780567653,0.828496103368308,0.308630661400327,0.362076514831252,0.574593017332922,0.431767715918016,0.504901816246158,0.468334766082087,2.84606468973952e-18,2.8070907679837,8.63856936683464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States","New York","New York City",0
"5",2020-03-06,NA,"7270561f",NA,0,0,5,1,8336817,3,"United States","New York","New York City",FALSE,0,1.5273825226415,3.74014048267373,2.39010987309366,0.333138189761345,1.22079266520348,0.776965427482414,0.371291435768483,0.566443117697276,0.435288136954608,0.502446416511151,0.468867276732879,2.30022088639466e-21,2.8070907679837,9.41793549349095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States","New York","New York City",0
"6",2020-03-07,NA,"7270561f",NA,0,NA,12,7,8336817,3,"United States","New York","New York City",TRUE,0,2.62206013402775,5.64108593940262,3.8459415692821,0.867444168421863,1.62422124000872,1.24583270421529,0.379802717421502,0.557939710392078,0.438219738462051,0.499522689351529,0.46887121390679,2.93440182790434e-25,2.8070907679837,10.3175727547695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States","New York","New York City",0
"7",2020-03-08,NA,"7270561f",NA,0,NA,14,2,8336817,3,"United States","New York","New York City",TRUE,0,3.8548297809518,7.45002302856388,5.35897104296009,1.3909829514817,2.03842488476246,1.71470391812208,0.388671585103905,0.550746304658938,0.441821254605463,0.49759663515738,0.469708944881422,3.29408039616803e-30,2.8070907679837,11.3603480877386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States","New York","New York City",0
"8",2020-03-09,NA,"7270561f",NA,0,0,20,6,8336817,3,"United States","New York","New York City",FALSE,0,5.72313734894181,10.1441592636195,7.61947614703496,1.90484490915177,2.46398081685518,2.18441286300347,0.396271069433939,0.543788404533171,0.444646890338028,0.495412583629082,0.470029736983555,4.23585804346734e-36,2.8070907679837,12.4899403250595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States","New York","New York City",0
"9",2020-03-10,NA,"7270561f",NA,0,0,37,17,8336817,3,"United States","New York","New York City",FALSE,0,10.0285313479519,16.617592887959,12.9093009572323,2.40922315383319,2.89966204614091,2.65444259998705,0.401806002845816,0.536680463566668,0.446035806427738,0.492450659984747,0.469243233206242,1.19219904655514e-42,2.8070907679837,13.6378649027833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States","New York","New York City",0
"10",2020-03-11,NA,"7270561f",NA,0,0,52,15,8336817,3,"United States","New York","New York City",FALSE,0,18.1796539672276,28.6532669211337,22.8233756849599,2.90412366251846,3.34324800386812,3.12368583319329,0.40637068533031,0.530775277052121,0.447167072037895,0.489978890344536,0.468572981191215,1.24066945640026e-49,2.8070907679837,14.7645059487355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States","New York","New York City",0
"11",2020-03-12,NA,"7270561f",NA,0,0,96,44,8336817,3,"United States","New York","New York City",FALSE,0,32.1070795561529,48.8320245582684,39.5961323538087,3.39110753798291,3.79341009078611,3.59225881438451,0.408183020709428,0.524353055777172,0.446279023508547,0.486257052978053,0.4662680382433,4.47185704453593e-56,2.8070907679837,15.7332923514415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States","New York","New York City",0
"12",2020-03-13,NA,"7270561f",NA,0,0,155,59,8336817,3,"United States","New York","New York City",FALSE,0,52.2196812293283,77.5049701447079,63.6182743765127,3.87015197631031,4.24690172894531,4.05852685262781,0.408008107709206,0.518031222471803,0.444088331714643,0.481950998466366,0.463019665090505,1.9417493267882e-61,2.8070907679837,16.4965674652885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States","New York","New York City",0
"13",2020-03-14,NA,"7270561f",NA,1,1,269,114,8336817,3,"United States","New York","New York City",TRUE,1,84.2297125964284,122.967094565834,101.771720208013,4.34186485877719,4.70122817665943,4.52154651771831,0.40549540618196,0.511144859461762,0.440141361703327,0.476498903940395,0.458320132821861,3.76237929471837e-65,2.8070907679837,17.0051226169894,NA,NA,NA,0.929756458682431,4.29202951774538,1.99763414192374,0.120809608852305,1.62179142621124,0.871300517531771,0.193309182765045,0.491375361725759,0.291054956719477,0.393629587771328,0.342342272245402,3.36249673616838e-06,1.03676099072371,4.50221173248262,"United States","New York","New York City",1.1994985616213e-07
"14",2020-03-15,NA,"7270561f",NA,5,4,330,61,8336817,3,"United States","New York","New York City",TRUE,5,116.754551424659,168.64494011858,140.321289666192,4.80608894865705,5.15364435242329,4.97986665054017,0.401748441738034,0.504412256119974,0.435415307361186,0.470745390496822,0.453080348929004,2.36856732874797e-67,2.8070907679837,17.2995942406734,NA,NA,NA,1.79816869400293,6.78964837922781,3.49412838327603,0.565868453166816,1.86141712638753,1.21364278977717,0.204838702425429,0.479225938708333,0.294819366676588,0.389245274457174,0.342032320566881,5.13707760809171e-07,1.03676099072371,4.88631351035997,"United States","New York","New York City",5.9974928081065e-07
"15",2020-03-16,NA,"7270561f",NA,7,2,464,134,8336817,3,"United States","New York","New York City",FALSE,7,163.911620055916,234.899117072376,196.221035643576,5.26324700124667,5.60264699769168,5.43294699946918,0.392498843549155,0.493188099483631,0.425518186047279,0.460168756985506,0.442843471516393,6.61567222915989e-67,2.8070907679837,17.2403152035535,NA,NA,NA,2.5342681661897,8.1114052101874,4.53392501120643,0.993751116946555,2.11759910374155,1.55567511034405,0.215687375020888,0.466917973371425,0.298074210596905,0.384531137795407,0.341302674196156,5.03893134297643e-08,1.03676099072371,5.32531430202874,"United States","New York","New York City",8.3964899313491e-07
"16",2020-03-17,NA,"7270561f",NA,11,4,646,182,8336817,3,"United States","New York","New York City",FALSE,11,270.969418423573,386.289035790773,323.531320541967,5.70898213381554,6.0425988081556,5.87579047098557,0.375330793693725,0.474733021915592,0.407928077170231,0.442135738439086,0.425031907804658,2.34775058765605e-63,2.8070907679837,16.7611379841126,NA,NA,NA,4.25169396022658,11.9549996414108,7.12944596514324,1.40355519719883,2.3904003718816,1.89697778454021,0.224445889195168,0.454028558401457,0.299733651685829,0.378740795910797,0.339237223798313,3.47381051267899e-09,1.03676099072371,5.79218582272528,"United States","New York","New York City",1.31944841778343e-06
"17",2020-03-18,NA,"7270561f",NA,25,14,1344,698,8336817,3,"United States","New York","New York City",FALSE,25,459.292773276253,652.072501511276,547.258793987175,6.1361078067206,6.46553695085985,6.30082237879023,0.346699273884765,0.445255395553503,0.379019090993997,0.412935578444271,0.395977334719134,3.46521877366528e-56,2.8070907679837,15.7494288858537,NA,NA,NA,5.472324620792,13.9980201741503,8.75224030984899,1.79450585123625,2.67792416544079,2.23621500833852,0.229854007686259,0.440145363128953,0.298815509341171,0.371183861474041,0.334999685407606,2.12512576733289e-10,1.03676099072371,6.24454882464325,"United States","New York","New York City",2.99874640405325e-06
"18",2020-03-19,NA,"7270561f",NA,31,6,2477,1133,8336817,3,"United States","New York","New York City",FALSE,31,742.141774641391,1050.48200868046,882.953329542944,6.53361198757054,6.85998743944819,6.69679971350936,0.309044236560907,0.40702848215081,0.341176516559667,0.37489620215205,0.358036359355859,7.803758928837e-47,2.8070907679837,14.3234938488037,NA,NA,NA,10.8444159477501,25.844492189238,16.7412192882859,2.1661762067424,2.97625318074985,2.57121469374612,0.232837289796372,0.426754207675893,0.296429070947396,0.363162426524869,0.329795748736132,1.30857045203036e-11,1.03676099072371,6.66664669432129,"United States","New York","New York City",3.71844554102603e-06
"19",2020-03-20,NA,"7270561f",NA,54,23,4419,1942,8336817,3,"United States","New York","New York City",FALSE,54,1071.21526505021,1513.03208511891,1273.09978638366,6.89275406838584,7.2169180773446,7.05483607286522,0.264867238737005,0.362451355530247,0.296868303248495,0.330450291018757,0.313659297133626,1.06095029208546e-36,2.8070907679837,12.599610387428,NA,NA,NA,11.324547762401,25.8676889714271,17.1154865329578,2.52030682565235,3.28171405931218,2.90101044248226,0.231792022276854,0.412539433086445,0.291065085800681,0.353266369562617,0.322165727681649,1.40500115084399e-12,1.03676099072371,6.98691306814188,"United States","New York","New York City",6.47729223275502e-06
"20",2020-03-21,NA,"7270561f",NA,75,21,6226,1807,8336817,3,"United States","New York","New York City",TRUE,75,1477.02228784842,2083.03005136077,1754.04726621545,7.20720088794173,7.52978985205596,7.36849536999885,0.218769817610421,0.316066238519444,0.250676537111133,0.284159519018732,0.267418028064932,2.28671048753178e-27,2.8070907679837,10.7738742890466,NA,NA,NA,14.0952236631235,31.2444704580251,20.9856569909479,2.85767020824907,3.5886821320788,3.22317617016394,0.227525623505717,0.398263254093631,0.283516148506411,0.342272729092936,0.312894438799674,3.39310173596165e-13,1.03676099072371,7.18367507969439,"United States","New York","New York City",8.99623921215975e-06
"21",2020-03-22,NA,"7270561f",NA,119,44,9065,2839,8336817,3,"United States","New York","New York City",TRUE,119,1683.13083462398,2372.15001898515,1998.15886288047,7.47516811746407,7.79665867866349,7.63591339806378,0.171032404631939,0.268119933546881,0.202870621527942,0.236281716650877,0.21957616908941,3.81044265883766e-19,2.8070907679837,8.86543077341188,NA,NA,NA,24.1529734929997,52.5947365829756,35.6415386671215,3.17964657489012,3.89249464303711,3.53607060896361,0.220211704653211,0.383755263394599,0.273843055181397,0.330123912866413,0.301983484023905,2.27415988285097e-13,1.03676099072371,7.23815425282159,"United States","New York","New York City",1.42740328832935e-05
"22",2020-03-23,NA,"7270561f",NA,155,36,12329,3264,8336817,3,"United States","New York","New York City",FALSE,155,1864.44342402238,2625.0383734477,2212.29191861765,7.69512015186456,8.01585898244181,7.85548956715319,0.125343839573236,0.222281172594062,0.157132802260102,0.190492209907195,0.173812506083649,1.04317564640739e-12,2.8070907679837,7.0285872608732,NA,NA,NA,30.2835716491382,65.1914688868146,44.432313904932,3.48699727745094,4.18911090852409,3.83805409298752,0.210684774850792,0.369336577734419,0.262711956586731,0.31730939599848,0.290010676292606,3.87489614026643e-13,1.03676099072371,7.16550925150907,"United States","New York","New York City",1.85922277051301e-05
"23",2020-03-24,NA,"7270561f",NA,230,75,14943,2614,8336817,3,"United States","New York","New York City",FALSE,230,2349.27305916788,3306.85820803731,2787.24109086929,7.86918633899005,8.18941780748363,8.02930207323684,0.085870710835516,0.182701982759667,0.117624892575356,0.150947801019827,0.134286346797591,2.72165636450139e-08,2.8070907679837,5.43618601942768,NA,NA,NA,45.3575485513657,97.1313716509453,66.3750021131336,3.78033654627069,4.47579299228955,4.12806476928012,0.198752051167308,0.354251039927528,0.249745320710655,0.303257770384181,0.276501545547418,1.58194082192012e-12,1.03676099072371,6.97024559790884,"United States","New York","New York City",2.75884669172899e-05
"24",2020-03-25,NA,"7270561f",NA,330,100,20061,5118,8336817,3,"United States","New York","New York City",FALSE,330,2971.8743113323,4181.50947963221,3525.18376898446,8.00364183928643,8.32353500078243,8.16358842003443,0.0520741959472518,0.148831899095885,0.0838042520485271,0.117101842994609,0.100453047521568,2.3543241364853e-05,2.8070907679837,4.06963681180243,NA,NA,NA,52.357748577291,111.857090379357,76.5283307976182,4.05916164252735,4.74997098712772,4.40456631482754,0.185005387133026,0.338569641962548,0.235364193329638,0.288210835765936,0.261787514547787,1.17475735948303e-11,1.03676099072371,6.68246787881107,"United States","New York","New York City",3.95834525335029e-05
"25",2020-03-26,NA,"7270561f",NA,435,105,23182,3121,8336817,3,"United States","New York","New York City",FALSE,435,3568.57502598452,5019.60515370613,4232.35603320643,8.10420622996233,8.42387670514967,8.264041467556,0.0279230824096975,0.124630304971659,0.0596365842543609,0.0929168031269957,0.0762766936906783,0.000994742715638913,2.8070907679837,3.09179745903129,NA,NA,NA,93.3911438192906,198.190670349683,136.048717003391,4.32283128585673,5.00987637289393,4.66635382937533,0.17044383669962,0.322866311323795,0.220428215343778,0.272881932679637,0.246655074011707,1.12406053448811e-10,1.03676099072371,6.34335668488529,"United States","New York","New York City",5.21781874305265e-05
"26",2020-03-27,NA,"7270561f",NA,560,125,25509,2327,8336817,3,"United States","New York","New York City",FALSE,560,3882.34488708505,5459.92066766686,4604.05202924624,8.18055514053888,8.50008118195447,8.34031816124668,0.0111153114508835,0.107788036597305,0.0428175004502145,0.0760858475979739,0.0594516740240942,0.00796156977206434,2.8070907679837,2.41067249798437,NA,NA,NA,87.9253116184611,186.322044214263,127.993842816472,4.57118248999923,5.25483531677484,4.91300890338704,0.154629897218562,0.306389871706563,0.204397020121793,0.256622748803332,0.230509884462563,1.30816245478023e-09,1.03676099072371,5.95402144934902,"United States","New York","New York City",6.71719194507928e-05
"27",2020-03-28,NA,"7270561f",NA,825,265,30919,5410,8336817,3,"United States","New York","New York City",TRUE,825,4148.59283683187,5833.58311920033,4919.46756685902,8.24005310108789,8.55948656945366,8.39976983527077,-0.00269056927307806,0.0939586026883109,0.0290038958566475,0.0622641375585853,0.0456340167076164,0.0320963580439979,2.8070907679837,1.85083901707008,NA,NA,NA,98.3460172538862,208.485937907995,143.19134627027,4.80328713205496,5.48375044364423,5.1435187878496,0.137607761977694,0.288974428787285,0.187245906264289,0.23933628450069,0.213291095382489,1.66081490921561e-08,1.03676099072371,5.52357892241424,"United States","New York","New York City",9.89586313337572e-05
"28",2020-03-29,NA,"7270561f",NA,991,166,33983,3064,8336817,3,"United States","New York","New York City",TRUE,991,3785.30105011867,5324.4417076022,4489.38913295364,8.28571689623685,8.60509080771993,8.44540385197839,-0.0126169827504705,0.0840164266300744,0.019072313306838,0.0523271305727659,0.0356997219398019,0.0737865877065909,2.8070907679837,1.44815689953693,NA,NA,NA,151.498882753746,319.87293745112,220.137213226214,5.01806901763787,5.6955507488263,5.35680988323209,0.121661879395687,0.272771708230584,0.17121579800225,0.22321778962402,0.197216793813135,1.56053886535836e-07,1.03676099072371,5.11598505538035,"United States","New York","New York City",0.000118870307456671
"29",2020-03-30,NA,"7270561f",NA,1202,211,38375,4392,8336817,3,"United States","New York","New York City",FALSE,1202,3487.62639728339,4904.06628411927,4135.64396757286,8.32143678585863,8.64077036197775,8.48110357391819,-0.0214513726047135,0.075172081887601,0.0102346589149742,0.0434860503679133,0.0268603546414437,0.137922482356066,2.8070907679837,1.08970079750958,NA,NA,NA,170.513141039899,358.191153265831,247.136194508333,5.21663860142553,5.89141475266491,5.55402667704522,0.106183869252645,0.25709888974885,0.155673903751644,0.207608855249852,0.181641379500748,1.19071515445486e-06,1.03676099072371,4.71802688364726,"United States","New York","New York City",0.00014417972710688
"30",2020-03-31,NA,"7270561f",NA,1475,273,43518,5143,8336817,3,"United States","New York","New York City",FALSE,1475,3793.17772434141,5334.65435095629,4498.36548660826,8.34831210945595,8.66761574766332,8.50796392855964,-0.0286486364270157,0.067968922563648,0.00303546176238367,0.0362848243742486,0.0196601430683162,0.212538769740857,2.8070907679837,0.797643259617602,NA,NA,NA,228.721811069724,479.786460550277,331.266702497839,5.39946280428255,6.07187330880939,5.73566805654597,0.0908072090543575,0.241553729219805,0.140241986713083,0.192118951561079,0.166180469137081,7.75690589728864e-06,1.03676099072371,4.3212637225082,"United States","New York","New York City",0.000176926037839142
"31",2020-04-01,NA,"7270561f",NA,1848,373,47914,4396,8336817,3,"United States","New York","New York City",FALSE,1848,4278.15176718837,6015.95648166845,5073.18192590983,8.36798397619116,8.68726416706475,8.52762407162795,-0.0329493971239604,0.0636647324746253,-0.00126642354582698,0.0319817588964919,0.0153576676753325,0.2666070689437,2.8070907679837,0.623107109803683,NA,NA,NA,236.192697144187,495.337057716745,342.045312287106,5.56663807359134,6.23705897777477,5.90184852568305,0.0750750070862638,0.225665669583732,0.124458673852649,0.176282002817347,0.150370338334998,4.53535591009729e-05,1.03676099072371,3.91419285355296,"United States","New York","New York City",0.000221667334187616
